prompt,location,listing_type,style,beds,full_baths,sqft,year_built,list_price,stories,parking_garage,listing_type_NL,style_NL
"I'm looking to rent a townhome in Phoenix, AZ with 5 bedrooms and 3 bathrooms, with at least 2143 square feet, built after 2003, priced around 200000, with parking for at least 1 cars","Phoenix, AZ",for_rent,TOWNHOMES,5.0,3.0,2143.0,2003.0,200000.0,,1.0,rent,townhome
"I'm looking to rent a apartment in San Antonio, TX with 1 bedrooms and 1 bathrooms, with at least 2631 square feet, built after 1956, priced around 800000","San Antonio, TX",for_rent,APARTMENT,1.0,1.0,2631.0,1956.0,800000.0,,,rent,apartment
"I'm looking to buy a townhome in Los Angeles, CA with 2 bedrooms and 1 bathrooms, with at least 1095 square feet, priced around 200000, with 2 stories, with parking for at least 1 cars","Los Angeles, CA",for_sale,TOWNHOMES,2.0,1.0,1095.0,,200000.0,2.0,1.0,buy,townhome
"I'm looking to buy a apartment in San Antonio, TX with 4 bedrooms and 3 bathrooms, with at least 2483 square feet, built after 1984, priced around 500000, with 1 stories, with parking for at least 2 cars","San Antonio, TX",for_sale,APARTMENT,4.0,3.0,2483.0,1984.0,500000.0,1.0,2.0,buy,apartment
"I'm looking to rent a single family in Phoenix, AZ with 5 bedrooms and 3 bathrooms, with at least 2576 square feet, priced around 250000, with 2 stories","Phoenix, AZ",for_rent,SINGLE_FAMILY,5.0,3.0,2576.0,,250000.0,2.0,,rent,single family
"I'm looking to rent a apartment in San Antonio, TX with 5 bedrooms, with at least 2642 square feet, built after 1959, priced around 750000, with 1 stories, with parking for at least 3 cars","San Antonio, TX",for_rent,APARTMENT,5.0,,2642.0,1959.0,750000.0,1.0,3.0,rent,apartment
"I'm looking to buy a townhome in San Diego, CA with 5 bedrooms and 3 bathrooms, with at least 1137 square feet, built after 2007, priced around 700000, with 1 stories","San Diego, CA",for_sale,TOWNHOMES,5.0,3.0,1137.0,2007.0,700000.0,1.0,,buy,townhome
"I'm looking to buy in San Diego, CA with 3 bedrooms and 2 bathrooms, with at least 2567 square feet, priced around 700000, with 2 stories, with parking for at least 3 cars","San Diego, CA",for_sale,OTHER,3.0,2.0,2567.0,,700000.0,2.0,3.0,buy,other
"I'm looking to rent a apartment in San Antonio, TX with 5 bedrooms and 2 bathrooms, with at least 1826 square feet, built after 2020, priced around 750000, with 1 stories, with parking for at least 1 cars","San Antonio, TX",for_rent,APARTMENT,5.0,2.0,1826.0,2020.0,750000.0,1.0,1.0,rent,apartment
"I'm looking to rent a single family in San Antonio, TX with 2 bedrooms and 3 bathrooms, with at least 1954 square feet, built after 2002, with 1 stories, with parking for at least 1 cars","San Antonio, TX",for_rent,SINGLE_FAMILY,2.0,3.0,1954.0,2002.0,,1.0,1.0,rent,single family
"I'm looking to rent in Phoenix, AZ with 3 bedrooms and 2 bathrooms, with at least 2085 square feet, built after 2008, priced around 300000, with 3 stories, with parking for at least 1 cars","Phoenix, AZ",for_rent,OTHER,3.0,2.0,2085.0,2008.0,300000.0,3.0,1.0,rent,other
"I'm looking to rent a single family in New York, NY with 1 bedrooms and 1 bathrooms, with at least 1288 square feet, built after 2013, with 1 stories, with parking for at least 1 cars","New York, NY",for_rent,SINGLE_FAMILY,1.0,1.0,1288.0,2013.0,,1.0,1.0,rent,single family
"I'm looking to buy a condo in San Diego, CA with 4 bedrooms and 2 bathrooms, with at least 1936 square feet, built after 2015, priced around 150000","San Diego, CA",for_sale,CONDOS,4.0,2.0,1936.0,2015.0,150000.0,,,buy,condo
"I'm looking to buy a condo in Phoenix, AZ with 4 bedrooms and 2 bathrooms, with at least 2267 square feet, built after 2009, priced around 900000, with 2 stories, with parking for at least 0 cars","Phoenix, AZ",for_sale,CONDOS,4.0,2.0,2267.0,2009.0,900000.0,2.0,0.0,buy,condo
"I'm looking to rent a apartment in San Diego, CA with 5 bedrooms, with at least 2115 square feet, built after 1962, priced around 550000, with 2 stories","San Diego, CA",for_rent,APARTMENT,5.0,,2115.0,1962.0,550000.0,2.0,,rent,apartment
"I'm looking to rent a townhome in San Diego, CA with 3 bedrooms and 1 bathrooms, with at least 2959 square feet, built after 2001, priced around 600000, with 3 stories, with parking for at least 3 cars","San Diego, CA",for_rent,TOWNHOMES,3.0,1.0,2959.0,2001.0,600000.0,3.0,3.0,rent,townhome
"I'm looking to rent in New York, NY with 2 bedrooms and 2 bathrooms, with at least 2022 square feet, built after 2012, priced around 450000, with 2 stories","New York, NY",for_rent,OTHER,2.0,2.0,2022.0,2012.0,450000.0,2.0,,rent,other
"I'm looking to buy a condo in San Antonio, TX and 3 bathrooms, with at least 1439 square feet, built after 2010, priced around 400000, with 1 stories","San Antonio, TX",for_sale,CONDOS,,3.0,1439.0,2010.0,400000.0,1.0,,buy,condo
"I'm looking to buy in Los Angeles, CA with 5 bedrooms, with at least 1495 square feet, built after 2015, with 2 stories, with parking for at least 1 cars","Los Angeles, CA",for_sale,OTHER,5.0,,1495.0,2015.0,,2.0,1.0,buy,other
"I'm looking to buy a condo in San Antonio, TX with 3 bedrooms and 2 bathrooms, with at least 909 square feet, priced around 800000, with 2 stories, with parking for at least 3 cars","San Antonio, TX",for_sale,CONDOS,3.0,2.0,909.0,,800000.0,2.0,3.0,buy,condo
"I'm looking to buy a single family in San Antonio, TX with 2 bedrooms and 2 bathrooms, with at least 2092 square feet, built after 1993, priced around 600000, with 1 stories","San Antonio, TX",for_sale,SINGLE_FAMILY,2.0,2.0,2092.0,1993.0,600000.0,1.0,,buy,single family
"I'm looking to rent a condo in San Diego, CA with 1 bedrooms and 1 bathrooms, with at least 1917 square feet, built after 2005, priced around 450000, with 1 stories, with parking for at least 2 cars","San Diego, CA",for_rent,CONDOS,1.0,1.0,1917.0,2005.0,450000.0,1.0,2.0,rent,condo
"I'm looking to rent a single family in Phoenix, AZ with 5 bedrooms and 3 bathrooms, with at least 970 square feet, built after 1989, priced around 700000, with 1 stories, with parking for at least 1 cars","Phoenix, AZ",for_rent,SINGLE_FAMILY,5.0,3.0,970.0,1989.0,700000.0,1.0,1.0,rent,single family
"I'm looking to rent a single family in San Antonio, TX with 2 bedrooms and 3 bathrooms, with at least 2566 square feet, built after 1985, priced around 550000, with 2 stories","San Antonio, TX",for_rent,SINGLE_FAMILY,2.0,3.0,2566.0,1985.0,550000.0,2.0,,rent,single family
"I'm looking to buy a apartment in Phoenix, AZ with 5 bedrooms and 2 bathrooms, with at least 1658 square feet, built after 1991, priced around 700000, with 3 stories, with parking for at least 1 cars","Phoenix, AZ",for_sale,APARTMENT,5.0,2.0,1658.0,1991.0,700000.0,3.0,1.0,buy,apartment
"I'm looking to buy a townhome in San Diego, CA with 4 bedrooms and 1 bathrooms, with at least 2793 square feet, built after 2014, priced around 550000, with 1 stories, with parking for at least 1 cars","San Diego, CA",for_sale,TOWNHOMES,4.0,1.0,2793.0,2014.0,550000.0,1.0,1.0,buy,townhome
"I'm looking to buy a condo in San Antonio, TX with 5 bedrooms and 2 bathrooms, with at least 2275 square feet, built after 1977, priced around 550000, with 3 stories, with parking for at least 1 cars","San Antonio, TX",for_sale,CONDOS,5.0,2.0,2275.0,1977.0,550000.0,3.0,1.0,buy,condo
"I'm looking to rent a townhome in Los Angeles, CA with 1 bedrooms and 2 bathrooms, with at least 2501 square feet, built after 1993, priced around 900000, with 1 stories, with parking for at least 1 cars","Los Angeles, CA",for_rent,TOWNHOMES,1.0,2.0,2501.0,1993.0,900000.0,1.0,1.0,rent,townhome
"I'm looking to rent a townhome in New York, NY with 5 bedrooms and 3 bathrooms, with at least 1997 square feet, priced around 750000, with 2 stories, with parking for at least 1 cars","New York, NY",for_rent,TOWNHOMES,5.0,3.0,1997.0,,750000.0,2.0,1.0,rent,townhome
"I'm looking to rent a townhome in Phoenix, AZ with 2 bedrooms and 3 bathrooms, with at least 2598 square feet, built after 1954, with 1 stories, with parking for at least 1 cars","Phoenix, AZ",for_rent,TOWNHOMES,2.0,3.0,2598.0,1954.0,,1.0,1.0,rent,townhome
"I'm looking to buy a apartment in San Antonio, TX with 4 bedrooms, with at least 1372 square feet, priced around 100000, with 3 stories, with parking for at least 3 cars","San Antonio, TX",for_sale,APARTMENT,4.0,,1372.0,,100000.0,3.0,3.0,buy,apartment
"I'm looking to buy a apartment in Phoenix, AZ with 3 bedrooms and 2 bathrooms, with at least 1078 square feet, built after 1953, priced around 350000, with 3 stories","Phoenix, AZ",for_sale,APARTMENT,3.0,2.0,1078.0,1953.0,350000.0,3.0,,buy,apartment
"I'm looking to buy a condo in New York, NY and 3 bathrooms, with at least 940 square feet, with 3 stories, with parking for at least 1 cars","New York, NY",for_sale,CONDOS,,3.0,940.0,,,3.0,1.0,buy,condo
"I'm looking to buy a apartment in Phoenix, AZ and 3 bathrooms, with at least 1133 square feet, priced around 950000, with 2 stories, with parking for at least 1 cars","Phoenix, AZ",for_sale,APARTMENT,,3.0,1133.0,,950000.0,2.0,1.0,buy,apartment
"I'm looking to buy a condo in New York, NY with 2 bedrooms and 2 bathrooms, with at least 2611 square feet, built after 1998, with 1 stories","New York, NY",for_sale,CONDOS,2.0,2.0,2611.0,1998.0,,1.0,,buy,condo
"I'm looking to buy in San Diego, CA, with at least 1241 square feet, built after 1983, priced around 150000, with parking for at least 1 cars","San Diego, CA",for_sale,OTHER,,,1241.0,1983.0,150000.0,,1.0,buy,other
"I'm looking to rent a single family in Phoenix, AZ with 4 bedrooms, with at least 2536 square feet, with 3 stories, with parking for at least 2 cars","Phoenix, AZ",for_rent,SINGLE_FAMILY,4.0,,2536.0,,,3.0,2.0,rent,single family
"I'm looking to rent a single family in New York, NY with 5 bedrooms and 1 bathrooms, with at least 1898 square feet, built after 1972, priced around 350000, with 1 stories, with parking for at least 2 cars","New York, NY",for_rent,SINGLE_FAMILY,5.0,1.0,1898.0,1972.0,350000.0,1.0,2.0,rent,single family
"I'm looking to rent a single family in Los Angeles, CA with 3 bedrooms and 1 bathrooms, with at least 2427 square feet, built after 1982, priced around 550000, with 2 stories","Los Angeles, CA",for_rent,SINGLE_FAMILY,3.0,1.0,2427.0,1982.0,550000.0,2.0,,rent,single family
"I'm looking to buy a apartment in New York, NY with 1 bedrooms and 3 bathrooms, with at least 2148 square feet, built after 2000, with parking for at least 1 cars","New York, NY",for_sale,APARTMENT,1.0,3.0,2148.0,2000.0,,,1.0,buy,apartment
"I'm looking to buy a apartment in New York, NY with 4 bedrooms and 2 bathrooms, with at least 2672 square feet, built after 1987, priced around 300000, with 3 stories, with parking for at least 1 cars","New York, NY",for_sale,APARTMENT,4.0,2.0,2672.0,1987.0,300000.0,3.0,1.0,buy,apartment
"I'm looking to buy a townhome in San Diego, CA with 2 bedrooms and 2 bathrooms, with at least 1507 square feet, built after 2006, priced around 650000, with 3 stories, with parking for at least 3 cars","San Diego, CA",for_sale,TOWNHOMES,2.0,2.0,1507.0,2006.0,650000.0,3.0,3.0,buy,townhome
"I'm looking to buy a condo in New York, NY with 5 bedrooms and 3 bathrooms, with at least 1362 square feet, built after 1981, with 1 stories","New York, NY",for_sale,CONDOS,5.0,3.0,1362.0,1981.0,,1.0,,buy,condo
"I'm looking to rent a single family in New York, NY with 1 bedrooms and 2 bathrooms, with at least 1777 square feet, built after 1961, priced around 800000, with 3 stories, with parking for at least 1 cars","New York, NY",for_rent,SINGLE_FAMILY,1.0,2.0,1777.0,1961.0,800000.0,3.0,1.0,rent,single family
"I'm looking to rent a single family in San Diego, CA with 1 bedrooms and 3 bathrooms, with at least 2177 square feet, priced around 850000, with 1 stories, with parking for at least 2 cars","San Diego, CA",for_rent,SINGLE_FAMILY,1.0,3.0,2177.0,,850000.0,1.0,2.0,rent,single family
"I'm looking to rent a apartment in New York, NY with 2 bedrooms and 1 bathrooms, with at least 1168 square feet, built after 1991, priced around 900000, with parking for at least 0 cars","New York, NY",for_rent,APARTMENT,2.0,1.0,1168.0,1991.0,900000.0,,0.0,rent,apartment
"I'm looking to buy a condo in San Antonio, TX with 4 bedrooms and 3 bathrooms, with at least 1844 square feet, built after 2013, priced around 400000, with 2 stories","San Antonio, TX",for_sale,CONDOS,4.0,3.0,1844.0,2013.0,400000.0,2.0,,buy,condo
"I'm looking to buy a townhome in San Antonio, TX with 4 bedrooms and 3 bathrooms, with at least 2977 square feet, built after 1999, priced around 150000, with 1 stories, with parking for at least 0 cars","San Antonio, TX",for_sale,TOWNHOMES,4.0,3.0,2977.0,1999.0,150000.0,1.0,0.0,buy,townhome
"I'm looking to rent in San Diego, CA with 4 bedrooms and 2 bathrooms, with at least 2767 square feet, built after 2018, priced around 600000, with 1 stories","San Diego, CA",for_rent,OTHER,4.0,2.0,2767.0,2018.0,600000.0,1.0,,rent,other
"I'm looking to rent a townhome in San Diego, CA with 5 bedrooms and 3 bathrooms, with at least 1456 square feet, priced around 550000, with 1 stories, with parking for at least 0 cars","San Diego, CA",for_rent,TOWNHOMES,5.0,3.0,1456.0,,550000.0,1.0,0.0,rent,townhome
"I'm looking to buy a condo in San Antonio, TX with 5 bedrooms and 1 bathrooms, with at least 1783 square feet, priced around 950000, with 1 stories","San Antonio, TX",for_sale,CONDOS,5.0,1.0,1783.0,,950000.0,1.0,,buy,condo
"I'm looking to buy a condo in San Antonio, TX with 2 bedrooms and 2 bathrooms, with at least 2458 square feet, built after 1959, priced around 350000, with parking for at least 2 cars","San Antonio, TX",for_sale,CONDOS,2.0,2.0,2458.0,1959.0,350000.0,,2.0,buy,condo
"I'm looking to buy a townhome in San Antonio, TX with 3 bedrooms and 3 bathrooms, with at least 2153 square feet, built after 1961, priced around 100000, with parking for at least 0 cars","San Antonio, TX",for_sale,TOWNHOMES,3.0,3.0,2153.0,1961.0,100000.0,,0.0,buy,townhome
"I'm looking to buy a single family in Los Angeles, CA with 2 bedrooms, with at least 1631 square feet, built after 1986, priced around 400000, with 2 stories","Los Angeles, CA",for_sale,SINGLE_FAMILY,2.0,,1631.0,1986.0,400000.0,2.0,,buy,single family
"I'm looking to buy a apartment in Phoenix, AZ with 3 bedrooms and 3 bathrooms, with at least 2088 square feet, built after 2010, priced around 350000, with 3 stories","Phoenix, AZ",for_sale,APARTMENT,3.0,3.0,2088.0,2010.0,350000.0,3.0,,buy,apartment
"I'm looking to rent a townhome in Phoenix, AZ with 1 bedrooms and 2 bathrooms, with at least 2252 square feet, built after 1968, priced around 500000, with 1 stories, with parking for at least 3 cars","Phoenix, AZ",for_rent,TOWNHOMES,1.0,2.0,2252.0,1968.0,500000.0,1.0,3.0,rent,townhome
"I'm looking to buy in Phoenix, AZ with 5 bedrooms and 3 bathrooms, with at least 1031 square feet, priced around 800000, with 1 stories","Phoenix, AZ",for_sale,OTHER,5.0,3.0,1031.0,,800000.0,1.0,,buy,other
"I'm looking to rent a apartment in San Diego, CA with 2 bedrooms and 2 bathrooms, with at least 2699 square feet, built after 1989, priced around 250000, with 1 stories","San Diego, CA",for_rent,APARTMENT,2.0,2.0,2699.0,1989.0,250000.0,1.0,,rent,apartment
"I'm looking to buy a single family in Los Angeles, CA with 5 bedrooms and 1 bathrooms, with at least 2578 square feet, built after 2015, with parking for at least 1 cars","Los Angeles, CA",for_sale,SINGLE_FAMILY,5.0,1.0,2578.0,2015.0,,,1.0,buy,single family
"I'm looking to rent a apartment in Los Angeles, CA with 3 bedrooms and 2 bathrooms, with at least 1622 square feet, priced around 300000, with 1 stories","Los Angeles, CA",for_rent,APARTMENT,3.0,2.0,1622.0,,300000.0,1.0,,rent,apartment
"I'm looking to rent a apartment in Phoenix, AZ and 1 bathrooms, with at least 2369 square feet, built after 1957, priced around 550000, with 1 stories, with parking for at least 1 cars","Phoenix, AZ",for_rent,APARTMENT,,1.0,2369.0,1957.0,550000.0,1.0,1.0,rent,apartment
"I'm looking to rent a single family in Los Angeles, CA with 2 bedrooms, with at least 1099 square feet, built after 1976, priced around 300000, with 3 stories, with parking for at least 1 cars","Los Angeles, CA",for_rent,SINGLE_FAMILY,2.0,,1099.0,1976.0,300000.0,3.0,1.0,rent,single family
"I'm looking to rent a condo in San Diego, CA and 1 bathrooms, with at least 1717 square feet, built after 1997, priced around 400000, with 3 stories, with parking for at least 0 cars","San Diego, CA",for_rent,CONDOS,,1.0,1717.0,1997.0,400000.0,3.0,0.0,rent,condo
"I'm looking to buy a apartment in Los Angeles, CA with 5 bedrooms and 2 bathrooms, with at least 2311 square feet, built after 2020, priced around 250000, with 3 stories, with parking for at least 1 cars","Los Angeles, CA",for_sale,APARTMENT,5.0,2.0,2311.0,2020.0,250000.0,3.0,1.0,buy,apartment
"I'm looking to rent a apartment in San Antonio, TX with 2 bedrooms and 2 bathrooms, with at least 2350 square feet, built after 1958, priced around 200000, with 2 stories, with parking for at least 1 cars","San Antonio, TX",for_rent,APARTMENT,2.0,2.0,2350.0,1958.0,200000.0,2.0,1.0,rent,apartment
"I'm looking to rent a townhome in New York, NY with 2 bedrooms, with at least 1515 square feet, priced around 100000, with 3 stories","New York, NY",for_rent,TOWNHOMES,2.0,,1515.0,,100000.0,3.0,,rent,townhome
"I'm looking to buy in San Diego, CA with 3 bedrooms and 3 bathrooms, with at least 822 square feet, built after 1999, priced around 450000, with parking for at least 0 cars","San Diego, CA",for_sale,OTHER,3.0,3.0,822.0,1999.0,450000.0,,0.0,buy,other
"I'm looking to rent a apartment in San Antonio, TX and 2 bathrooms, with at least 2510 square feet, built after 1986, priced around 350000, with parking for at least 2 cars","San Antonio, TX",for_rent,APARTMENT,,2.0,2510.0,1986.0,350000.0,,2.0,rent,apartment
"I'm looking to rent a condo in San Antonio, TX with 1 bedrooms and 2 bathrooms, with at least 1401 square feet, priced around 850000, with 1 stories, with parking for at least 1 cars","San Antonio, TX",for_rent,CONDOS,1.0,2.0,1401.0,,850000.0,1.0,1.0,rent,condo
"I'm looking to rent a condo in San Diego, CA with 4 bedrooms and 2 bathrooms, with at least 1384 square feet, priced around 500000, with 2 stories, with parking for at least 1 cars","San Diego, CA",for_rent,CONDOS,4.0,2.0,1384.0,,500000.0,2.0,1.0,rent,condo
"I'm looking to rent a townhome in Los Angeles, CA with 4 bedrooms and 3 bathrooms, with at least 2576 square feet, built after 1988, priced around 250000, with 2 stories","Los Angeles, CA",for_rent,TOWNHOMES,4.0,3.0,2576.0,1988.0,250000.0,2.0,,rent,townhome
"I'm looking to buy a townhome in Phoenix, AZ and 3 bathrooms, with at least 2692 square feet, priced around 650000, with 1 stories, with parking for at least 1 cars","Phoenix, AZ",for_sale,TOWNHOMES,,3.0,2692.0,,650000.0,1.0,1.0,buy,townhome
"I'm looking to rent a townhome in San Antonio, TX with 3 bedrooms and 3 bathrooms, with at least 2400 square feet, built after 1960, priced around 300000, with 1 stories, with parking for at least 1 cars","San Antonio, TX",for_rent,TOWNHOMES,3.0,3.0,2400.0,1960.0,300000.0,1.0,1.0,rent,townhome
"I'm looking to rent a single family in New York, NY with 5 bedrooms and 3 bathrooms, with at least 2772 square feet, priced around 500000, with 1 stories, with parking for at least 0 cars","New York, NY",for_rent,SINGLE_FAMILY,5.0,3.0,2772.0,,500000.0,1.0,0.0,rent,single family
"I'm looking to buy in New York, NY with 3 bedrooms and 2 bathrooms, with at least 2879 square feet, built after 2003, priced around 100000, with 2 stories","New York, NY",for_sale,OTHER,3.0,2.0,2879.0,2003.0,100000.0,2.0,,buy,other
"I'm looking to buy a apartment in Phoenix, AZ and 2 bathrooms, with at least 1915 square feet, built after 2008, priced around 150000, with 3 stories, with parking for at least 0 cars","Phoenix, AZ",for_sale,APARTMENT,,2.0,1915.0,2008.0,150000.0,3.0,0.0,buy,apartment
"I'm looking to rent a condo in San Antonio, TX with 3 bedrooms and 3 bathrooms, with at least 2988 square feet, built after 2009, priced around 900000, with parking for at least 1 cars","San Antonio, TX",for_rent,CONDOS,3.0,3.0,2988.0,2009.0,900000.0,,1.0,rent,condo
"I'm looking to buy a apartment in San Diego, CA with 3 bedrooms and 3 bathrooms, with at least 1856 square feet, built after 1953, priced around 350000, with 2 stories","San Diego, CA",for_sale,APARTMENT,3.0,3.0,1856.0,1953.0,350000.0,2.0,,buy,apartment
"I'm looking to buy a condo in New York, NY and 1 bathrooms, with at least 1909 square feet, built after 2019, priced around 650000, with parking for at least 2 cars","New York, NY",for_sale,CONDOS,,1.0,1909.0,2019.0,650000.0,,2.0,buy,condo
"I'm looking to buy a single family in Phoenix, AZ with 4 bedrooms, with at least 2946 square feet, built after 2020, priced around 300000, with 1 stories, with parking for at least 1 cars","Phoenix, AZ",for_sale,SINGLE_FAMILY,4.0,,2946.0,2020.0,300000.0,1.0,1.0,buy,single family
"I'm looking to rent a townhome in Phoenix, AZ with 4 bedrooms and 2 bathrooms, with at least 1671 square feet, built after 1980, with 2 stories","Phoenix, AZ",for_rent,TOWNHOMES,4.0,2.0,1671.0,1980.0,,2.0,,rent,townhome
"I'm looking to buy a condo in Los Angeles, CA with 2 bedrooms and 3 bathrooms, with at least 1004 square feet, priced around 850000, with 2 stories, with parking for at least 1 cars","Los Angeles, CA",for_sale,CONDOS,2.0,3.0,1004.0,,850000.0,2.0,1.0,buy,condo
"I'm looking to rent a townhome in New York, NY and 1 bathrooms, with at least 823 square feet, built after 2002, priced around 100000, with 1 stories, with parking for at least 1 cars","New York, NY",for_rent,TOWNHOMES,,1.0,823.0,2002.0,100000.0,1.0,1.0,rent,townhome
"I'm looking to buy a condo in Phoenix, AZ with 1 bedrooms and 2 bathrooms, with at least 1442 square feet, built after 2004, priced around 350000, with 2 stories","Phoenix, AZ",for_sale,CONDOS,1.0,2.0,1442.0,2004.0,350000.0,2.0,,buy,condo
"I'm looking to rent a townhome in San Diego, CA with 4 bedrooms and 1 bathrooms, with at least 2517 square feet, built after 1990, priced around 500000, with 3 stories, with parking for at least 1 cars","San Diego, CA",for_rent,TOWNHOMES,4.0,1.0,2517.0,1990.0,500000.0,3.0,1.0,rent,townhome
"I'm looking to buy a condo in Los Angeles, CA with 5 bedrooms and 2 bathrooms, with at least 1808 square feet, built after 2020, priced around 250000, with 2 stories","Los Angeles, CA",for_sale,CONDOS,5.0,2.0,1808.0,2020.0,250000.0,2.0,,buy,condo
"I'm looking to rent a apartment in San Antonio, TX with 2 bedrooms and 2 bathrooms, with at least 2034 square feet, built after 1955, priced around 100000, with 2 stories","San Antonio, TX",for_rent,APARTMENT,2.0,2.0,2034.0,1955.0,100000.0,2.0,,rent,apartment
"I'm looking to buy a single family in New York, NY with 3 bedrooms and 2 bathrooms, with at least 2676 square feet, with 1 stories","New York, NY",for_sale,SINGLE_FAMILY,3.0,2.0,2676.0,,,1.0,,buy,single family
"I'm looking to buy a townhome in Los Angeles, CA with 3 bedrooms and 2 bathrooms, with at least 1054 square feet, built after 2005, with 1 stories","Los Angeles, CA",for_sale,TOWNHOMES,3.0,2.0,1054.0,2005.0,,1.0,,buy,townhome
"I'm looking to buy a apartment in San Diego, CA with 5 bedrooms and 2 bathrooms, with at least 1674 square feet, priced around 700000, with 2 stories, with parking for at least 0 cars","San Diego, CA",for_sale,APARTMENT,5.0,2.0,1674.0,,700000.0,2.0,0.0,buy,apartment
"I'm looking to rent a townhome in San Antonio, TX with 5 bedrooms and 2 bathrooms, with at least 2692 square feet, built after 1968, priced around 150000, with 1 stories, with parking for at least 3 cars","San Antonio, TX",for_rent,TOWNHOMES,5.0,2.0,2692.0,1968.0,150000.0,1.0,3.0,rent,townhome
"I'm looking to rent a single family in San Antonio, TX with 2 bedrooms and 2 bathrooms, with at least 884 square feet, built after 1983, priced around 800000, with 1 stories, with parking for at least 2 cars","San Antonio, TX",for_rent,SINGLE_FAMILY,2.0,2.0,884.0,1983.0,800000.0,1.0,2.0,rent,single family
"I'm looking to buy a townhome in Phoenix, AZ with 1 bedrooms and 2 bathrooms, with at least 2695 square feet, built after 1976, priced around 700000, with parking for at least 0 cars","Phoenix, AZ",for_sale,TOWNHOMES,1.0,2.0,2695.0,1976.0,700000.0,,0.0,buy,townhome
"I'm looking to buy a townhome in San Antonio, TX with 4 bedrooms and 3 bathrooms, with at least 1050 square feet, built after 1981, priced around 600000, with 2 stories","San Antonio, TX",for_sale,TOWNHOMES,4.0,3.0,1050.0,1981.0,600000.0,2.0,,buy,townhome
"I'm looking to buy in San Diego, CA with 5 bedrooms and 1 bathrooms, with at least 2095 square feet, priced around 450000, with 1 stories","San Diego, CA",for_sale,OTHER,5.0,1.0,2095.0,,450000.0,1.0,,buy,other
"I'm looking to buy in San Diego, CA with 3 bedrooms and 2 bathrooms, with at least 1257 square feet, built after 2014, priced around 450000","San Diego, CA",for_sale,OTHER,3.0,2.0,1257.0,2014.0,450000.0,,,buy,other
"I'm looking to rent a townhome in San Antonio, TX with 1 bedrooms and 3 bathrooms, with at least 920 square feet, built after 1961, priced around 450000","San Antonio, TX",for_rent,TOWNHOMES,1.0,3.0,920.0,1961.0,450000.0,,,rent,townhome
"I'm looking to rent a single family in San Diego, CA with 3 bedrooms, with at least 1744 square feet, priced around 900000, with 3 stories, with parking for at least 1 cars","San Diego, CA",for_rent,SINGLE_FAMILY,3.0,,1744.0,,900000.0,3.0,1.0,rent,single family
"I'm looking to buy a townhome in San Antonio, TX with 2 bedrooms and 2 bathrooms, with at least 2305 square feet, with 1 stories","San Antonio, TX",for_sale,TOWNHOMES,2.0,2.0,2305.0,,,1.0,,buy,townhome
"I'm looking to buy a apartment in San Diego, CA with 2 bedrooms and 3 bathrooms, with at least 1694 square feet, priced around 400000","San Diego, CA",for_sale,APARTMENT,2.0,3.0,1694.0,,400000.0,,,buy,apartment
"I'm looking to rent a apartment in Phoenix, AZ with 5 bedrooms and 2 bathrooms, with at least 801 square feet, priced around 250000, with 1 stories, with parking for at least 3 cars","Phoenix, AZ",for_rent,APARTMENT,5.0,2.0,801.0,,250000.0,1.0,3.0,rent,apartment
"I'm looking to buy a single family in San Diego, CA with 4 bedrooms and 3 bathrooms, with at least 2882 square feet, built after 2007","San Diego, CA",for_sale,SINGLE_FAMILY,4.0,3.0,2882.0,2007.0,,,,buy,single family
"I'm looking to rent in Phoenix, AZ with 4 bedrooms and 3 bathrooms, with at least 2333 square feet, priced around 850000, with parking for at least 1 cars","Phoenix, AZ",for_rent,OTHER,4.0,3.0,2333.0,,850000.0,,1.0,rent,other
"I'm looking to rent a townhome in San Diego, CA with 5 bedrooms and 3 bathrooms, with at least 1013 square feet, built after 1999, priced around 650000, with 1 stories","San Diego, CA",for_rent,TOWNHOMES,5.0,3.0,1013.0,1999.0,650000.0,1.0,,rent,townhome
"I'm looking to rent a apartment in New York, NY with 2 bedrooms and 1 bathrooms, with at least 1021 square feet, built after 1996, priced around 400000, with 2 stories, with parking for at least 1 cars","New York, NY",for_rent,APARTMENT,2.0,1.0,1021.0,1996.0,400000.0,2.0,1.0,rent,apartment
"I'm looking to rent a single family in Los Angeles, CA with 2 bedrooms and 2 bathrooms, with at least 1042 square feet, built after 1960, priced around 650000","Los Angeles, CA",for_rent,SINGLE_FAMILY,2.0,2.0,1042.0,1960.0,650000.0,,,rent,single family
"I'm looking to rent a townhome in New York, NY with 3 bedrooms and 3 bathrooms, with at least 1466 square feet, built after 1996, priced around 400000, with 1 stories, with parking for at least 2 cars","New York, NY",for_rent,TOWNHOMES,3.0,3.0,1466.0,1996.0,400000.0,1.0,2.0,rent,townhome
"I'm looking to rent a single family in Phoenix, AZ with 5 bedrooms and 3 bathrooms, with at least 2611 square feet, built after 1994, priced around 450000, with 1 stories, with parking for at least 3 cars","Phoenix, AZ",for_rent,SINGLE_FAMILY,5.0,3.0,2611.0,1994.0,450000.0,1.0,3.0,rent,single family
"I'm looking to rent a apartment in Phoenix, AZ with 1 bedrooms and 3 bathrooms, with at least 1163 square feet, built after 2010, priced around 900000, with 1 stories, with parking for at least 2 cars","Phoenix, AZ",for_rent,APARTMENT,1.0,3.0,1163.0,2010.0,900000.0,1.0,2.0,rent,apartment
