generate structured response: I'm looking to buy in San Diego, CA with 5 bedrooms and 1 bathrooms, with at least 872 square feet, built after 1966, priced around 150000, with 2 stories <|endoftext|> location: San Diego, CA; listing_type: for_sale; style: OTHER; beds: 5.0; full_baths: 1.0; sqft: 872.0; year_built: 1966.0; list_price: 150000.0; stories: 2.0; parking_garage: nan; listing_type_NL: buy; style_NL: other
generate structured response: I'm looking to buy a apartment in San Diego, CA with 1 bedrooms and 2 bathrooms, with at least 1754 square feet, built after 1950, priced around 100000, with 3 stories, with parking for at least 0 cars <|endoftext|> location: San Diego, CA; listing_type: for_sale; style: APARTMENT; beds: 1.0; full_baths: 2.0; sqft: 1754.0; year_built: 1950.0; list_price: 100000.0; stories: 3.0; parking_garage: 0.0; listing_type_NL: buy; style_NL: apartment
generate structured response: I'm looking to buy a condo in Phoenix, AZ with 1 bedrooms and 1 bathrooms, with at least 986 square feet, built after 1976, priced around 450000, with 2 stories <|endoftext|> location: Phoenix, AZ; listing_type: for_sale; style: CONDOS; beds: 1.0; full_baths: 1.0; sqft: 986.0; year_built: 1976.0; list_price: 450000.0; stories: 2.0; parking_garage: nan; listing_type_NL: buy; style_NL: condo
generate structured response: I'm looking to buy a condo in San Diego, CA with 1 bedrooms and 1 bathrooms, with at least 1842 square feet, built after 2012, priced around 350000, with parking for at least 0 cars <|endoftext|> location: San Diego, CA; listing_type: for_sale; style: CONDOS; beds: 1.0; full_baths: 1.0; sqft: 1842.0; year_built: 2012.0; list_price: 350000.0; stories: nan; parking_garage: 0.0; listing_type_NL: buy; style_NL: condo
generate structured response: I'm looking to rent a townhome in New York, NY with 1 bedrooms and 3 bathrooms, with at least 2085 square feet, built after 1992, priced around 300000, with 2 stories <|endoftext|> location: New York, NY; listing_type: for_rent; style: TOWNHOMES; beds: 1.0; full_baths: 3.0; sqft: 2085.0; year_built: 1992.0; list_price: 300000.0; stories: 2.0; parking_garage: nan; listing_type_NL: rent; style_NL: townhome
generate structured response: I'm looking to buy a single family in San Antonio, TX with 1 bedrooms and 3 bathrooms, with at least 2446 square feet, built after 1967, with 1 stories <|endoftext|> location: San Antonio, TX; listing_type: for_sale; style: SINGLE_FAMILY; beds: 1.0; full_baths: 3.0; sqft: 2446.0; year_built: 1967.0; list_price: nan; stories: 1.0; parking_garage: nan; listing_type_NL: buy; style_NL: single family
generate structured response: I'm looking to buy in Los Angeles, CA with 1 bedrooms and 3 bathrooms, with at least 1371 square feet, built after 2018, priced around 400000, with 2 stories, with parking for at least 1 cars <|endoftext|> location: Los Angeles, CA; listing_type: for_sale; style: OTHER; beds: 1.0; full_baths: 3.0; sqft: 1371.0; year_built: 2018.0; list_price: 400000.0; stories: 2.0; parking_garage: 1.0; listing_type_NL: buy; style_NL: other
generate structured response: I'm looking to buy a single family in Phoenix, AZ with 2 bedrooms and 3 bathrooms, with at least 1828 square feet, priced around 750000, with 2 stories, with parking for at least 1 cars <|endoftext|> location: Phoenix, AZ; listing_type: for_sale; style: SINGLE_FAMILY; beds: 2.0; full_baths: 3.0; sqft: 1828.0; year_built: nan; list_price: 750000.0; stories: 2.0; parking_garage: 1.0; listing_type_NL: buy; style_NL: single family
generate structured response: I'm looking to buy a condo in New York, NY and 2 bathrooms, with at least 1691 square feet, priced around 900000, with parking for at least 0 cars <|endoftext|> location: New York, NY; listing_type: for_sale; style: CONDOS; beds: nan; full_baths: 2.0; sqft: 1691.0; year_built: nan; list_price: 900000.0; stories: nan; parking_garage: 0.0; listing_type_NL: buy; style_NL: condo
generate structured response: I'm looking to rent a apartment in New York, NY with 2 bedrooms and 1 bathrooms, with at least 2598 square feet, built after 1971, priced around 250000, with 3 stories, with parking for at least 1 cars <|endoftext|> location: New York, NY; listing_type: for_rent; style: APARTMENT; beds: 2.0; full_baths: 1.0; sqft: 2598.0; year_built: 1971.0; list_price: 250000.0; stories: 3.0; parking_garage: 1.0; listing_type_NL: rent; style_NL: apartment
generate structured response: I'm looking to buy a apartment in Phoenix, AZ with 1 bedrooms and 2 bathrooms, with at least 1446 square feet, built after 1957, priced around 250000, with parking for at least 2 cars <|endoftext|> location: Phoenix, AZ; listing_type: for_sale; style: APARTMENT; beds: 1.0; full_baths: 2.0; sqft: 1446.0; year_built: 1957.0; list_price: 250000.0; stories: nan; parking_garage: 2.0; listing_type_NL: buy; style_NL: apartment
generate structured response: I'm looking to buy a townhome in Los Angeles, CA with 1 bedrooms and 2 bathrooms, with at least 1475 square feet, priced around 900000, with 1 stories, with parking for at least 2 cars <|endoftext|> location: Los Angeles, CA; listing_type: for_sale; style: TOWNHOMES; beds: 1.0; full_baths: 2.0; sqft: 1475.0; year_built: nan; list_price: 900000.0; stories: 1.0; parking_garage: 2.0; listing_type_NL: buy; style_NL: townhome
generate structured response: I'm looking to rent a apartment in New York, NY with 5 bedrooms, with at least 2302 square feet <|endoftext|> location: New York, NY; listing_type: for_rent; style: APARTMENT; beds: 5.0; full_baths: nan; sqft: 2302.0; year_built: nan; list_price: nan; stories: nan; parking_garage: nan; listing_type_NL: rent; style_NL: apartment
generate structured response: I'm looking to buy in New York, NY with 3 bedrooms and 2 bathrooms, with at least 2026 square feet, built after 1978, priced around 800000, with 2 stories <|endoftext|> location: New York, NY; listing_type: for_sale; style: OTHER; beds: 3.0; full_baths: 2.0; sqft: 2026.0; year_built: 1978.0; list_price: 800000.0; stories: 2.0; parking_garage: nan; listing_type_NL: buy; style_NL: other
generate structured response: I'm looking to rent a condo in Phoenix, AZ with 2 bedrooms and 2 bathrooms, with at least 1606 square feet, built after 1964, priced around 300000, with 1 stories <|endoftext|> location: Phoenix, AZ; listing_type: for_rent; style: CONDOS; beds: 2.0; full_baths: 2.0; sqft: 1606.0; year_built: 1964.0; list_price: 300000.0; stories: 1.0; parking_garage: nan; listing_type_NL: rent; style_NL: condo
generate structured response: I'm looking to buy a townhome in New York, NY with 5 bedrooms and 3 bathrooms, with at least 2085 square feet, built after 1957, priced around 700000, with parking for at least 1 cars <|endoftext|> location: New York, NY; listing_type: for_sale; style: TOWNHOMES; beds: 5.0; full_baths: 3.0; sqft: 2085.0; year_built: 1957.0; list_price: 700000.0; stories: nan; parking_garage: 1.0; listing_type_NL: buy; style_NL: townhome
generate structured response: I'm looking to rent in San Diego, CA with 5 bedrooms and 3 bathrooms, with at least 1282 square feet, built after 1975, priced around 100000, with 1 stories <|endoftext|> location: San Diego, CA; listing_type: for_rent; style: OTHER; beds: 5.0; full_baths: 3.0; sqft: 1282.0; year_built: 1975.0; list_price: 100000.0; stories: 1.0; parking_garage: nan; listing_type_NL: rent; style_NL: other
generate structured response: I'm looking to buy a single family in Los Angeles, CA with 4 bedrooms and 2 bathrooms, with at least 1624 square feet, built after 1958, priced around 200000, with parking for at least 1 cars <|endoftext|> location: Los Angeles, CA; listing_type: for_sale; style: SINGLE_FAMILY; beds: 4.0; full_baths: 2.0; sqft: 1624.0; year_built: 1958.0; list_price: 200000.0; stories: nan; parking_garage: 1.0; listing_type_NL: buy; style_NL: single family
generate structured response: I'm looking to rent a apartment in San Diego, CA with 3 bedrooms and 3 bathrooms, with at least 2450 square feet, built after 1981, priced around 700000, with 2 stories, with parking for at least 2 cars <|endoftext|> location: San Diego, CA; listing_type: for_rent; style: APARTMENT; beds: 3.0; full_baths: 3.0; sqft: 2450.0; year_built: 1981.0; list_price: 700000.0; stories: 2.0; parking_garage: 2.0; listing_type_NL: rent; style_NL: apartment
generate structured response: I'm looking to buy a single family in San Antonio, TX with 5 bedrooms and 2 bathrooms, with at least 915 square feet, built after 1950, with 2 stories, with parking for at least 1 cars <|endoftext|> location: San Antonio, TX; listing_type: for_sale; style: SINGLE_FAMILY; beds: 5.0; full_baths: 2.0; sqft: 915.0; year_built: 1950.0; list_price: nan; stories: 2.0; parking_garage: 1.0; listing_type_NL: buy; style_NL: single family
generate structured response: I'm looking to buy a single family in San Diego, CA with 5 bedrooms, with at least 2531 square feet, built after 2011, priced around 800000, with 3 stories, with parking for at least 1 cars <|endoftext|> location: San Diego, CA; listing_type: for_sale; style: SINGLE_FAMILY; beds: 5.0; full_baths: nan; sqft: 2531.0; year_built: 2011.0; list_price: 800000.0; stories: 3.0; parking_garage: 1.0; listing_type_NL: buy; style_NL: single family
generate structured response: I'm looking to buy a townhome in Phoenix, AZ with 2 bedrooms and 1 bathrooms, with at least 1967 square feet, built after 2019, priced around 750000, with 1 stories <|endoftext|> location: Phoenix, AZ; listing_type: for_sale; style: TOWNHOMES; beds: 2.0; full_baths: 1.0; sqft: 1967.0; year_built: 2019.0; list_price: 750000.0; stories: 1.0; parking_garage: nan; listing_type_NL: buy; style_NL: townhome
generate structured response: I'm looking to buy a townhome in Phoenix, AZ with 2 bedrooms and 2 bathrooms, with at least 2338 square feet, built after 1964, priced around 100000, with 2 stories, with parking for at least 1 cars <|endoftext|> location: Phoenix, AZ; listing_type: for_sale; style: TOWNHOMES; beds: 2.0; full_baths: 2.0; sqft: 2338.0; year_built: 1964.0; list_price: 100000.0; stories: 2.0; parking_garage: 1.0; listing_type_NL: buy; style_NL: townhome
generate structured response: I'm looking to buy a apartment in San Antonio, TX with 3 bedrooms and 2 bathrooms, with at least 892 square feet, priced around 850000, with 2 stories, with parking for at least 2 cars <|endoftext|> location: San Antonio, TX; listing_type: for_sale; style: APARTMENT; beds: 3.0; full_baths: 2.0; sqft: 892.0; year_built: nan; list_price: 850000.0; stories: 2.0; parking_garage: 2.0; listing_type_NL: buy; style_NL: apartment
generate structured response: I'm looking to buy a apartment in New York, NY with 5 bedrooms and 3 bathrooms, with at least 2160 square feet, priced around 950000, with 3 stories <|endoftext|> location: New York, NY; listing_type: for_sale; style: APARTMENT; beds: 5.0; full_baths: 3.0; sqft: 2160.0; year_built: nan; list_price: 950000.0; stories: 3.0; parking_garage: nan; listing_type_NL: buy; style_NL: apartment
generate structured response: I'm looking to buy a single family in San Diego, CA with 5 bedrooms, with at least 2120 square feet, built after 1977, priced around 400000, with 1 stories <|endoftext|> location: San Diego, CA; listing_type: for_sale; style: SINGLE_FAMILY; beds: 5.0; full_baths: nan; sqft: 2120.0; year_built: 1977.0; list_price: 400000.0; stories: 1.0; parking_garage: nan; listing_type_NL: buy; style_NL: single family
generate structured response: I'm looking to buy a single family in Los Angeles, CA with 2 bedrooms and 2 bathrooms, with at least 2909 square feet, built after 2019, priced around 950000, with 3 stories, with parking for at least 1 cars <|endoftext|> location: Los Angeles, CA; listing_type: for_sale; style: SINGLE_FAMILY; beds: 2.0; full_baths: 2.0; sqft: 2909.0; year_built: 2019.0; list_price: 950000.0; stories: 3.0; parking_garage: 1.0; listing_type_NL: buy; style_NL: single family
generate structured response: I'm looking to rent a apartment in New York, NY with 3 bedrooms and 2 bathrooms, with at least 2287 square feet, priced around 450000, with 1 stories, with parking for at least 1 cars <|endoftext|> location: New York, NY; listing_type: for_rent; style: APARTMENT; beds: 3.0; full_baths: 2.0; sqft: 2287.0; year_built: nan; list_price: 450000.0; stories: 1.0; parking_garage: 1.0; listing_type_NL: rent; style_NL: apartment
generate structured response: I'm looking to buy a townhome in San Diego, CA with 2 bedrooms and 2 bathrooms, with at least 1389 square feet, built after 1970, priced around 900000, with 1 stories, with parking for at least 1 cars <|endoftext|> location: San Diego, CA; listing_type: for_sale; style: TOWNHOMES; beds: 2.0; full_baths: 2.0; sqft: 1389.0; year_built: 1970.0; list_price: 900000.0; stories: 1.0; parking_garage: 1.0; listing_type_NL: buy; style_NL: townhome
generate structured response: I'm looking to rent a townhome in Los Angeles, CA with 3 bedrooms and 3 bathrooms, with at least 1166 square feet, built after 1991, priced around 550000, with 1 stories <|endoftext|> location: Los Angeles, CA; listing_type: for_rent; style: TOWNHOMES; beds: 3.0; full_baths: 3.0; sqft: 1166.0; year_built: 1991.0; list_price: 550000.0; stories: 1.0; parking_garage: nan; listing_type_NL: rent; style_NL: townhome
generate structured response: I'm looking to rent a apartment in Los Angeles, CA with 4 bedrooms and 1 bathrooms, with at least 1257 square feet, built after 2007, priced around 750000, with 1 stories <|endoftext|> location: Los Angeles, CA; listing_type: for_rent; style: APARTMENT; beds: 4.0; full_baths: 1.0; sqft: 1257.0; year_built: 2007.0; list_price: 750000.0; stories: 1.0; parking_garage: nan; listing_type_NL: rent; style_NL: apartment
generate structured response: I'm looking to rent a single family in Phoenix, AZ with 3 bedrooms and 1 bathrooms, with at least 2313 square feet, priced around 650000, with 1 stories, with parking for at least 3 cars <|endoftext|> location: Phoenix, AZ; listing_type: for_rent; style: SINGLE_FAMILY; beds: 3.0; full_baths: 1.0; sqft: 2313.0; year_built: nan; list_price: 650000.0; stories: 1.0; parking_garage: 3.0; listing_type_NL: rent; style_NL: single family
generate structured response: I'm looking to rent a apartment in San Diego, CA with 4 bedrooms and 3 bathrooms, with at least 1687 square feet, built after 1984, with 1 stories <|endoftext|> location: San Diego, CA; listing_type: for_rent; style: APARTMENT; beds: 4.0; full_baths: 3.0; sqft: 1687.0; year_built: 1984.0; list_price: nan; stories: 1.0; parking_garage: nan; listing_type_NL: rent; style_NL: apartment
generate structured response: I'm looking to buy a condo in San Antonio, TX with 5 bedrooms and 1 bathrooms, with at least 1302 square feet, built after 1967, priced around 450000, with 2 stories, with parking for at least 0 cars <|endoftext|> location: San Antonio, TX; listing_type: for_sale; style: CONDOS; beds: 5.0; full_baths: 1.0; sqft: 1302.0; year_built: 1967.0; list_price: 450000.0; stories: 2.0; parking_garage: 0.0; listing_type_NL: buy; style_NL: condo
generate structured response: I'm looking to buy a apartment in San Antonio, TX with 3 bedrooms and 2 bathrooms, with at least 1384 square feet, priced around 450000, with 3 stories, with parking for at least 1 cars <|endoftext|> location: San Antonio, TX; listing_type: for_sale; style: APARTMENT; beds: 3.0; full_baths: 2.0; sqft: 1384.0; year_built: nan; list_price: 450000.0; stories: 3.0; parking_garage: 1.0; listing_type_NL: buy; style_NL: apartment
generate structured response: I'm looking to buy a townhome in New York, NY with 4 bedrooms and 2 bathrooms, with at least 1246 square feet, built after 1979, priced around 900000, with parking for at least 1 cars <|endoftext|> location: New York, NY; listing_type: for_sale; style: TOWNHOMES; beds: 4.0; full_baths: 2.0; sqft: 1246.0; year_built: 1979.0; list_price: 900000.0; stories: nan; parking_garage: 1.0; listing_type_NL: buy; style_NL: townhome
generate structured response: I'm looking to rent a apartment in Los Angeles, CA with 5 bedrooms and 2 bathrooms, with at least 2763 square feet, priced around 600000, with 3 stories, with parking for at least 2 cars <|endoftext|> location: Los Angeles, CA; listing_type: for_rent; style: APARTMENT; beds: 5.0; full_baths: 2.0; sqft: 2763.0; year_built: nan; list_price: 600000.0; stories: 3.0; parking_garage: 2.0; listing_type_NL: rent; style_NL: apartment
generate structured response: I'm looking to rent a condo in San Antonio, TX with 2 bedrooms and 1 bathrooms, with at least 1951 square feet, built after 2008, priced around 900000, with 1 stories <|endoftext|> location: San Antonio, TX; listing_type: for_rent; style: CONDOS; beds: 2.0; full_baths: 1.0; sqft: 1951.0; year_built: 2008.0; list_price: 900000.0; stories: 1.0; parking_garage: nan; listing_type_NL: rent; style_NL: condo
generate structured response: I'm looking to buy a apartment in San Antonio, TX with 4 bedrooms and 3 bathrooms, with at least 2618 square feet, built after 1983, with 1 stories <|endoftext|> location: San Antonio, TX; listing_type: for_sale; style: APARTMENT; beds: 4.0; full_baths: 3.0; sqft: 2618.0; year_built: 1983.0; list_price: nan; stories: 1.0; parking_garage: nan; listing_type_NL: buy; style_NL: apartment
generate structured response: I'm looking to rent a condo in San Diego, CA with 2 bedrooms and 1 bathrooms, with at least 2629 square feet, built after 1987, priced around 200000, with 2 stories, with parking for at least 1 cars <|endoftext|> location: San Diego, CA; listing_type: for_rent; style: CONDOS; beds: 2.0; full_baths: 1.0; sqft: 2629.0; year_built: 1987.0; list_price: 200000.0; stories: 2.0; parking_garage: 1.0; listing_type_NL: rent; style_NL: condo
generate structured response: I'm looking to rent a townhome in Phoenix, AZ with 5 bedrooms and 3 bathrooms, with at least 2143 square feet, built after 2003, priced around 200000, with parking for at least 1 cars <|endoftext|> location: Phoenix, AZ; listing_type: for_rent; style: TOWNHOMES; beds: 5.0; full_baths: 3.0; sqft: 2143.0; year_built: 2003.0; list_price: 200000.0; stories: nan; parking_garage: 1.0; listing_type_NL: rent; style_NL: townhome
generate structured response: I'm looking to rent a apartment in San Antonio, TX with 1 bedrooms and 1 bathrooms, with at least 2631 square feet, built after 1956, priced around 800000 <|endoftext|> location: San Antonio, TX; listing_type: for_rent; style: APARTMENT; beds: 1.0; full_baths: 1.0; sqft: 2631.0; year_built: 1956.0; list_price: 800000.0; stories: nan; parking_garage: nan; listing_type_NL: rent; style_NL: apartment
generate structured response: I'm looking to buy a townhome in Los Angeles, CA with 2 bedrooms and 1 bathrooms, with at least 1095 square feet, priced around 200000, with 2 stories, with parking for at least 1 cars <|endoftext|> location: Los Angeles, CA; listing_type: for_sale; style: TOWNHOMES; beds: 2.0; full_baths: 1.0; sqft: 1095.0; year_built: nan; list_price: 200000.0; stories: 2.0; parking_garage: 1.0; listing_type_NL: buy; style_NL: townhome
generate structured response: I'm looking to buy a apartment in San Antonio, TX with 4 bedrooms and 3 bathrooms, with at least 2483 square feet, built after 1984, priced around 500000, with 1 stories, with parking for at least 2 cars <|endoftext|> location: San Antonio, TX; listing_type: for_sale; style: APARTMENT; beds: 4.0; full_baths: 3.0; sqft: 2483.0; year_built: 1984.0; list_price: 500000.0; stories: 1.0; parking_garage: 2.0; listing_type_NL: buy; style_NL: apartment
generate structured response: I'm looking to rent a single family in Phoenix, AZ with 5 bedrooms and 3 bathrooms, with at least 2576 square feet, priced around 250000, with 2 stories <|endoftext|> location: Phoenix, AZ; listing_type: for_rent; style: SINGLE_FAMILY; beds: 5.0; full_baths: 3.0; sqft: 2576.0; year_built: nan; list_price: 250000.0; stories: 2.0; parking_garage: nan; listing_type_NL: rent; style_NL: single family
generate structured response: I'm looking to rent a apartment in San Antonio, TX with 5 bedrooms, with at least 2642 square feet, built after 1959, priced around 750000, with 1 stories, with parking for at least 3 cars <|endoftext|> location: San Antonio, TX; listing_type: for_rent; style: APARTMENT; beds: 5.0; full_baths: nan; sqft: 2642.0; year_built: 1959.0; list_price: 750000.0; stories: 1.0; parking_garage: 3.0; listing_type_NL: rent; style_NL: apartment
generate structured response: I'm looking to buy a townhome in San Diego, CA with 5 bedrooms and 3 bathrooms, with at least 1137 square feet, built after 2007, priced around 700000, with 1 stories <|endoftext|> location: San Diego, CA; listing_type: for_sale; style: TOWNHOMES; beds: 5.0; full_baths: 3.0; sqft: 1137.0; year_built: 2007.0; list_price: 700000.0; stories: 1.0; parking_garage: nan; listing_type_NL: buy; style_NL: townhome
generate structured response: I'm looking to buy in San Diego, CA with 3 bedrooms and 2 bathrooms, with at least 2567 square feet, priced around 700000, with 2 stories, with parking for at least 3 cars <|endoftext|> location: San Diego, CA; listing_type: for_sale; style: OTHER; beds: 3.0; full_baths: 2.0; sqft: 2567.0; year_built: nan; list_price: 700000.0; stories: 2.0; parking_garage: 3.0; listing_type_NL: buy; style_NL: other
generate structured response: I'm looking to rent a apartment in San Antonio, TX with 5 bedrooms and 2 bathrooms, with at least 1826 square feet, built after 2020, priced around 750000, with 1 stories, with parking for at least 1 cars <|endoftext|> location: San Antonio, TX; listing_type: for_rent; style: APARTMENT; beds: 5.0; full_baths: 2.0; sqft: 1826.0; year_built: 2020.0; list_price: 750000.0; stories: 1.0; parking_garage: 1.0; listing_type_NL: rent; style_NL: apartment
generate structured response: I'm looking to rent a single family in San Antonio, TX with 2 bedrooms and 3 bathrooms, with at least 1954 square feet, built after 2002, with 1 stories, with parking for at least 1 cars <|endoftext|> location: San Antonio, TX; listing_type: for_rent; style: SINGLE_FAMILY; beds: 2.0; full_baths: 3.0; sqft: 1954.0; year_built: 2002.0; list_price: nan; stories: 1.0; parking_garage: 1.0; listing_type_NL: rent; style_NL: single family
generate structured response: I'm looking to rent in Phoenix, AZ with 3 bedrooms and 2 bathrooms, with at least 2085 square feet, built after 2008, priced around 300000, with 3 stories, with parking for at least 1 cars <|endoftext|> location: Phoenix, AZ; listing_type: for_rent; style: OTHER; beds: 3.0; full_baths: 2.0; sqft: 2085.0; year_built: 2008.0; list_price: 300000.0; stories: 3.0; parking_garage: 1.0; listing_type_NL: rent; style_NL: other
generate structured response: I'm looking to rent a single family in New York, NY with 1 bedrooms and 1 bathrooms, with at least 1288 square feet, built after 2013, with 1 stories, with parking for at least 1 cars <|endoftext|> location: New York, NY; listing_type: for_rent; style: SINGLE_FAMILY; beds: 1.0; full_baths: 1.0; sqft: 1288.0; year_built: 2013.0; list_price: nan; stories: 1.0; parking_garage: 1.0; listing_type_NL: rent; style_NL: single family
generate structured response: I'm looking to buy a condo in San Diego, CA with 4 bedrooms and 2 bathrooms, with at least 1936 square feet, built after 2015, priced around 150000 <|endoftext|> location: San Diego, CA; listing_type: for_sale; style: CONDOS; beds: 4.0; full_baths: 2.0; sqft: 1936.0; year_built: 2015.0; list_price: 150000.0; stories: nan; parking_garage: nan; listing_type_NL: buy; style_NL: condo
generate structured response: I'm looking to buy a condo in Phoenix, AZ with 4 bedrooms and 2 bathrooms, with at least 2267 square feet, built after 2009, priced around 900000, with 2 stories, with parking for at least 0 cars <|endoftext|> location: Phoenix, AZ; listing_type: for_sale; style: CONDOS; beds: 4.0; full_baths: 2.0; sqft: 2267.0; year_built: 2009.0; list_price: 900000.0; stories: 2.0; parking_garage: 0.0; listing_type_NL: buy; style_NL: condo
generate structured response: I'm looking to rent a apartment in San Diego, CA with 5 bedrooms, with at least 2115 square feet, built after 1962, priced around 550000, with 2 stories <|endoftext|> location: San Diego, CA; listing_type: for_rent; style: APARTMENT; beds: 5.0; full_baths: nan; sqft: 2115.0; year_built: 1962.0; list_price: 550000.0; stories: 2.0; parking_garage: nan; listing_type_NL: rent; style_NL: apartment
generate structured response: I'm looking to rent a townhome in San Diego, CA with 3 bedrooms and 1 bathrooms, with at least 2959 square feet, built after 2001, priced around 600000, with 3 stories, with parking for at least 3 cars <|endoftext|> location: San Diego, CA; listing_type: for_rent; style: TOWNHOMES; beds: 3.0; full_baths: 1.0; sqft: 2959.0; year_built: 2001.0; list_price: 600000.0; stories: 3.0; parking_garage: 3.0; listing_type_NL: rent; style_NL: townhome
generate structured response: I'm looking to rent in New York, NY with 2 bedrooms and 2 bathrooms, with at least 2022 square feet, built after 2012, priced around 450000, with 2 stories <|endoftext|> location: New York, NY; listing_type: for_rent; style: OTHER; beds: 2.0; full_baths: 2.0; sqft: 2022.0; year_built: 2012.0; list_price: 450000.0; stories: 2.0; parking_garage: nan; listing_type_NL: rent; style_NL: other
generate structured response: I'm looking to buy a condo in San Antonio, TX and 3 bathrooms, with at least 1439 square feet, built after 2010, priced around 400000, with 1 stories <|endoftext|> location: San Antonio, TX; listing_type: for_sale; style: CONDOS; beds: nan; full_baths: 3.0; sqft: 1439.0; year_built: 2010.0; list_price: 400000.0; stories: 1.0; parking_garage: nan; listing_type_NL: buy; style_NL: condo
generate structured response: I'm looking to buy in Los Angeles, CA with 5 bedrooms, with at least 1495 square feet, built after 2015, with 2 stories, with parking for at least 1 cars <|endoftext|> location: Los Angeles, CA; listing_type: for_sale; style: OTHER; beds: 5.0; full_baths: nan; sqft: 1495.0; year_built: 2015.0; list_price: nan; stories: 2.0; parking_garage: 1.0; listing_type_NL: buy; style_NL: other
generate structured response: I'm looking to buy a condo in San Antonio, TX with 3 bedrooms and 2 bathrooms, with at least 909 square feet, priced around 800000, with 2 stories, with parking for at least 3 cars <|endoftext|> location: San Antonio, TX; listing_type: for_sale; style: CONDOS; beds: 3.0; full_baths: 2.0; sqft: 909.0; year_built: nan; list_price: 800000.0; stories: 2.0; parking_garage: 3.0; listing_type_NL: buy; style_NL: condo
generate structured response: I'm looking to buy a single family in San Antonio, TX with 2 bedrooms and 2 bathrooms, with at least 2092 square feet, built after 1993, priced around 600000, with 1 stories <|endoftext|> location: San Antonio, TX; listing_type: for_sale; style: SINGLE_FAMILY; beds: 2.0; full_baths: 2.0; sqft: 2092.0; year_built: 1993.0; list_price: 600000.0; stories: 1.0; parking_garage: nan; listing_type_NL: buy; style_NL: single family
generate structured response: I'm looking to rent a condo in San Diego, CA with 1 bedrooms and 1 bathrooms, with at least 1917 square feet, built after 2005, priced around 450000, with 1 stories, with parking for at least 2 cars <|endoftext|> location: San Diego, CA; listing_type: for_rent; style: CONDOS; beds: 1.0; full_baths: 1.0; sqft: 1917.0; year_built: 2005.0; list_price: 450000.0; stories: 1.0; parking_garage: 2.0; listing_type_NL: rent; style_NL: condo
generate structured response: I'm looking to rent a single family in Phoenix, AZ with 5 bedrooms and 3 bathrooms, with at least 970 square feet, built after 1989, priced around 700000, with 1 stories, with parking for at least 1 cars <|endoftext|> location: Phoenix, AZ; listing_type: for_rent; style: SINGLE_FAMILY; beds: 5.0; full_baths: 3.0; sqft: 970.0; year_built: 1989.0; list_price: 700000.0; stories: 1.0; parking_garage: 1.0; listing_type_NL: rent; style_NL: single family
generate structured response: I'm looking to rent a single family in San Antonio, TX with 2 bedrooms and 3 bathrooms, with at least 2566 square feet, built after 1985, priced around 550000, with 2 stories <|endoftext|> location: San Antonio, TX; listing_type: for_rent; style: SINGLE_FAMILY; beds: 2.0; full_baths: 3.0; sqft: 2566.0; year_built: 1985.0; list_price: 550000.0; stories: 2.0; parking_garage: nan; listing_type_NL: rent; style_NL: single family
generate structured response: I'm looking to buy a apartment in Phoenix, AZ with 5 bedrooms and 2 bathrooms, with at least 1658 square feet, built after 1991, priced around 700000, with 3 stories, with parking for at least 1 cars <|endoftext|> location: Phoenix, AZ; listing_type: for_sale; style: APARTMENT; beds: 5.0; full_baths: 2.0; sqft: 1658.0; year_built: 1991.0; list_price: 700000.0; stories: 3.0; parking_garage: 1.0; listing_type_NL: buy; style_NL: apartment
generate structured response: I'm looking to buy a townhome in San Diego, CA with 4 bedrooms and 1 bathrooms, with at least 2793 square feet, built after 2014, priced around 550000, with 1 stories, with parking for at least 1 cars <|endoftext|> location: San Diego, CA; listing_type: for_sale; style: TOWNHOMES; beds: 4.0; full_baths: 1.0; sqft: 2793.0; year_built: 2014.0; list_price: 550000.0; stories: 1.0; parking_garage: 1.0; listing_type_NL: buy; style_NL: townhome
generate structured response: I'm looking to buy a condo in San Antonio, TX with 5 bedrooms and 2 bathrooms, with at least 2275 square feet, built after 1977, priced around 550000, with 3 stories, with parking for at least 1 cars <|endoftext|> location: San Antonio, TX; listing_type: for_sale; style: CONDOS; beds: 5.0; full_baths: 2.0; sqft: 2275.0; year_built: 1977.0; list_price: 550000.0; stories: 3.0; parking_garage: 1.0; listing_type_NL: buy; style_NL: condo
generate structured response: I'm looking to rent a townhome in Los Angeles, CA with 1 bedrooms and 2 bathrooms, with at least 2501 square feet, built after 1993, priced around 900000, with 1 stories, with parking for at least 1 cars <|endoftext|> location: Los Angeles, CA; listing_type: for_rent; style: TOWNHOMES; beds: 1.0; full_baths: 2.0; sqft: 2501.0; year_built: 1993.0; list_price: 900000.0; stories: 1.0; parking_garage: 1.0; listing_type_NL: rent; style_NL: townhome
generate structured response: I'm looking to rent a townhome in New York, NY with 5 bedrooms and 3 bathrooms, with at least 1997 square feet, priced around 750000, with 2 stories, with parking for at least 1 cars <|endoftext|> location: New York, NY; listing_type: for_rent; style: TOWNHOMES; beds: 5.0; full_baths: 3.0; sqft: 1997.0; year_built: nan; list_price: 750000.0; stories: 2.0; parking_garage: 1.0; listing_type_NL: rent; style_NL: townhome
